,Año,Day,Tiempo,PRN,S4,Az,Elv
230,21,095,1314,28,0.1,148.6,33.8
231,21,095,1374,2,0.18,348.2,18.8
232,21,095,1374,5,0.06,267.1,64.8
233,21,095,1374,12,0.12,321.3,26.0
234,21,095,1374,13,0.1,180.1,33.9
235,21,095,1374,14,0.11,148.3,25.7
236,21,095,1374,15,0.27,210.2,14.9
237,21,095,1374,17,0.1,81.6,29.0
238,21,095,1374,19,0.09,56.6,32.5
239,21,095,1374,24,0.22,247.7,16.6
240,21,095,1374,28,0.08,148.7,33.4
241,21,095,1434,2,0.15,348.6,18.7
242,21,095,1434,5,0.06,268.4,64.9
243,21,095,1434,12,0.1,321.1,26.4
244,21,095,1434,13,0.11,179.7,34.2
245,21,095,1434,14,0.1,148.4,25.3
246,21,095,1434,15,0.12,210.0,15.2
247,21,095,1434,17,0.09,82.2,29.0
248,21,095,1434,19,0.1,57.2,32.7
249,21,095,1434,24,0.19,247.2,16.6
250,21,095,1434,28,0.1,148.8,32.9
251,21,095,1494,2,0.14,349.0,18.6
252,21,095,1494,5,0.05,269.6,64.9
253,21,095,1494,12,0.1,320.8,26.8
254,21,095,1494,13,0.09,179.3,34.4
255,21,095,1494,14,0.11,148.5,24.9
256,21,095,1494,15,0.11,209.8,15.5
257,21,095,1494,17,0.11,82.7,29.0
258,21,095,1494,19,0.1,57.7,32.8
259,21,095,1494,24,0.18,246.8,16.7
260,21,095,1494,28,0.13,148.9,32.5
261,21,095,1554,2,0.15,349.4,18.5
262,21,095,1554,5,0.05,270.9,65.0
263,21,095,1554,12,0.09,320.6,27.2
264,21,095,1554,13,0.08,178.9,34.7
265,21,095,1554,14,0.16,148.5,24.5
266,21,095,1554,15,0.18,209.6,15.8
267,21,095,1554,17,0.12,83.3,29.1
268,21,095,1554,19,0.09,58.3,33.0
269,21,095,1554,24,0.21,246.3,16.7
270,21,095,1554,28,0.11,149.0,32.0
271,21,095,1614,2,0.18,349.8,18.4
272,21,095,1614,5,0.06,272.1,65.0
273,21,095,1614,12,0.13,320.3,27.6
274,21,095,1614,13,0.08,178.5,35.0
275,21,095,1614,14,0.18,148.6,24.1
276,21,095,1614,15,0.26,209.4,16.2
277,21,095,1614,17,0.11,83.8,29.1
278,21,095,1614,19,0.09,58.8,33.1
279,21,095,1614,24,0.25,245.9,16.8
280,21,095,1614,28,0.08,149.2,31.6
281,21,095,1674,2,0.14,350.2,18.3
282,21,095,1674,5,0.06,273.4,65.0
283,21,095,1674,12,0.08,320.1,28.0
284,21,095,1674,13,0.09,178.1,35.3
285,21,095,1674,14,0.15,148.6,23.6
286,21,095,1674,15,0.17,209.3,16.5
287,21,095,1674,17,0.09,84.4,29.1
288,21,095,1674,19,0.08,59.4,33.3
289,21,095,1674,24,0.18,245.5,16.8
290,21,095,1674,28,0.09,149.3,31.2
291,21,095,1734,2,0.11,350.6,18.2
292,21,095,1734,5,0.05,274.6,65.0
293,21,095,1734,12,0.09,319.8,28.3
294,21,095,1734,13,0.09,177.7,35.6
295,21,095,1734,14,0.14,148.6,23.2
296,21,095,1734,15,0.25,209.1,16.8
297,21,095,1734,17,0.09,84.9,29.2
298,21,095,1734,19,0.08,59.9,33.5
299,21,095,1734,24,0.2,245.0,16.8
300,21,095,1734,28,0.16,149.4,30.7
301,21,095,1794,2,0.14,351.0,18.2
302,21,095,1794,5,0.06,275.9,65.0
303,21,095,1794,12,0.12,319.5,28.7
304,21,095,1794,13,0.09,177.3,35.9
305,21,095,1794,14,0.21,148.7,22.8
306,21,095,1794,15,0.19,208.9,17.1
307,21,095,1794,17,0.11,85.5,29.2
308,21,095,1794,19,0.08,60.5,33.6
309,21,095,1794,24,0.2,244.6,16.9
310,21,095,1794,28,0.14,149.5,30.3
311,21,095,1854,2,0.12,351.4,18.1
312,21,095,1854,5,0.06,277.2,65.0
313,21,095,1854,12,0.11,319.2,29.1
314,21,095,1854,13,0.09,176.9,36.2
315,21,095,1854,14,0.18,148.7,22.4
316,21,095,1854,15,0.14,208.7,17.4
317,21,095,1854,17,0.22,86.1,29.2
318,21,095,1854,19,0.1,61.1,33.8
319,21,095,1854,24,0.2,244.1,16.9
320,21,095,1854,28,0.12,149.5,29.8
321,21,095,1914,2,0.17,351.7,18.0
322,21,095,1914,5,0.06,278.4,64.9
323,21,095,1914,12,0.09,318.9,29.5
324,21,095,1914,13,0.11,176.5,36.4
325,21,095,1914,14,0.12,148.8,22.0
326,21,095,1914,15,0.16,208.5,17.8
327,21,095,1914,17,0.16,86.6,29.2
328,21,095,1914,19,0.09,61.6,33.9
329,21,095,1914,24,0.15,243.7,17.0
330,21,095,1914,28,0.11,149.6,29.4
331,21,095,1974,2,0.13,352.1,17.9
332,21,095,1974,5,0.05,279.7,64.9
333,21,095,1974,12,0.1,318.7,29.9
334,21,095,1974,13,0.09,176.1,36.7
335,21,095,1974,14,0.16,148.8,21.6
336,21,095,1974,15,0.15,208.3,18.1
337,21,095,1974,17,0.15,87.2,29.3
338,21,095,1974,19,0.09,62.2,34.0
339,21,095,1974,24,0.16,243.3,17.0
340,21,095,1974,28,0.11,149.7,29.0
341,21,095,2034,2,0.13,352.5,17.8
342,21,095,2034,5,0.06,280.9,64.8
343,21,095,2034,12,0.08,318.4,30.2
344,21,095,2034,13,0.1,175.7,37.0
345,21,095,2034,14,0.16,148.8,21.2
346,21,095,2034,15,0.23,208.1,18.4
347,21,095,2034,17,0.11,87.7,29.3
348,21,095,2034,19,0.12,62.8,34.2
349,21,095,2034,24,0.17,242.8,17.0
350,21,095,2034,28,0.12,149.8,28.5
351,21,095,2094,2,0.14,352.9,17.8
352,21,095,2094,5,0.06,282.2,64.8
353,21,095,2094,12,0.09,318.1,30.6
354,21,095,2094,13,0.09,175.3,37.3
355,21,095,2094,14,0.29,148.8,20.8
356,21,095,2094,15,0.17,208.0,18.8
357,21,095,2094,17,0.11,88.3,29.3
358,21,095,2094,19,0.09,63.3,34.3
359,21,095,2094,24,0.17,242.4,17.1
360,21,095,2094,28,0.18,149.9,28.1
361,21,095,2154,2,0.15,353.3,17.7
362,21,095,2154,5,0.06,283.4,64.7
363,21,095,2154,12,0.08,317.7,31.0
364,21,095,2154,13,0.11,174.9,37.6
365,21,095,2154,14,0.26,148.8,20.4
366,21,095,2154,15,0.2,207.8,19.1
367,21,095,2154,17,0.09,88.8,29.3
368,21,095,2154,19,0.09,63.9,34.5
369,21,095,2154,24,0.17,241.9,17.1
370,21,095,2154,28,0.13,149.9,27.6
371,21,095,2214,2,0.14,353.7,17.6
372,21,095,2214,5,0.05,284.6,64.6
373,21,095,2214,12,0.09,317.4,31.4
374,21,095,2214,13,0.12,174.5,37.9
375,21,095,2214,14,0.23,148.9,20.0
376,21,095,2214,15,0.18,207.6,19.4
377,21,095,2214,17,0.11,89.4,29.3
378,21,095,2214,19,0.1,64.5,34.6
379,21,095,2214,24,0.17,241.5,17.1
380,21,095,2214,28,0.14,150.0,27.2
381,21,095,2274,2,0.13,354.1,17.6
382,21,095,2274,5,0.06,285.9,64.5
383,21,095,2274,12,0.12,317.1,31.8
384,21,095,2274,13,0.07,174.1,38.2
385,21,095,2274,14,0.29,148.9,19.6
386,21,095,2274,15,0.13,207.4,19.8
387,21,095,2274,17,0.12,90.0,29.3
388,21,095,2274,19,0.11,65.1,34.7
389,21,095,2274,24,0.19,241.1,17.2
390,21,095,2274,28,0.1,150.0,26.8
391,21,095,2334,2,0.11,354.5,17.5
392,21,095,2334,5,0.06,287.1,64.4
393,21,095,2334,12,0.09,316.8,32.1
394,21,095,2334,13,0.08,173.7,38.5
395,21,095,2334,14,0.2,148.9,19.2
396,21,095,2334,15,0.12,207.3,20.1
397,21,095,2334,17,0.1,90.5,29.3
398,21,095,2334,19,0.09,65.7,34.9
399,21,095,2334,24,0.23,240.6,17.2
400,21,095,2334,28,0.11,150.1,26.3
